tweet,side-effect,ineffective,rushed,pharma,mandatory,unnecessary,political,ingredients,conspiracy,country,religious,none
 drericding thats absolute garbage want vaccinated refuse one,0,0,0,0,0,0,0,0,0,0,0,1
 former gates foundation vaccine scientist calls halt vaccinations predicts wipe populations,0,0,0,0,0,0,0,0,1,0,0,0
 beachesguy2 jeannetix big winners fauci bill gates fauci stake moderna nih gates gave 100 million dollars 2016 develop mrna vaccines,0,0,0,1,0,0,0,0,0,0,0,0
 delbigtree look headline oxford astrazenecas covid vaccine trial put hold british volunteer serious reaction triggered spinal cord infection triggered tm proof infection ive read autoimmune reaction,1,0,0,0,0,0,0,0,0,0,0,0
 21n 20n astra zeneca az anthropology vaccination swiss radio broadcasting usual unopposed globalist propaganda callin vaccines callers old vulnerable wont reach severe covid something az vax wont slow spread,0,1,0,0,0,1,0,0,0,0,0,0
 probably wont get noticed someone please advise hagegeingob please dont rush buy covid vaccines wait least 6 months let west guinea pigs well know sure really work bad side effects get take,1,1,0,0,0,0,0,0,0,0,0,0
 realdonaldtrump nobody wants ur backdoor russian vaccine pls u take first,0,0,0,0,0,0,0,0,0,1,0,0
 cdc dozens adverse reactions caused anxiety johnson johnson vaccine source,1,0,0,0,0,0,0,0,0,0,0,0
 borisjohnson cmo_england matthancock beyond incompetence people refuse vaccine going administered correctly matter time covid19 kills one patients fraction intended protection,0,0,0,0,0,0,0,0,0,0,0,1
 daddy potus responsible would never fda cdc approved would called pfizer vaccine probably dr bleach danger vaccine one would take tdumps get first hisit pfizer pfizers realdonaldtrump,1,0,0,0,0,0,0,0,0,0,0,0
 rishibagree dont trust moderna friend trump got highest grant usd350 millions trials zero prior experience vaccine tied company already developing vaccine show product share price 5 post market,0,0,0,0,0,0,1,0,0,0,0,0
 looked pfizer amount law suits enough anyone trust vaccine trustworthy company,0,1,0,0,0,0,0,0,0,0,0,0
 traceylouise slimschutte aefrebetty jon_severs stevencross81 ah yes good old fashioned vaccine trialled correct amount time forced upon every living planet even without new thing youre healthy youll still fine,0,0,1,0,1,1,0,0,0,0,0,0
 ryan66553012 cocamidemea dreaminisfree1 falseheads anti vaxxer got son vaccinated please look bit deeper taking vaccine astrazeneca take liability even producing vax different far,0,1,0,0,0,0,0,0,0,0,0,0
 e tu janice youre actually drinking vaccine koolaid sadits necessary let alone safe,0,0,0,0,0,1,0,0,0,0,0,0
 waynejburrows nzlabour looks like definitely ties govt outlawing harmless early treatments criminal covid health policy effectively tied pfizers treasury taking volition entirely choice vax pfizer wont,0,0,0,1,0,1,1,0,0,0,0,0
 nicktolhurst make_trouble world live tested thoroughly approval vaccine sideeffects would absolute boon antivaxxer movement globally norway rushed vaccine swineflu 2009 without proper testing disasterous effects,1,0,1,0,0,0,0,0,0,0,0,0
 sensanders immune systems vaccines filled animal human dna disinfectants heavy metals chemicals 30 years us paid 4 billion compensations deaths injuries us gave pharma liability freedom 1986 vaccineskill,1,0,0,1,0,0,0,1,0,0,0,0
 ndtv also seen trial vaccine acceptable although lots side effects,1,0,1,0,0,0,0,0,0,0,0,0
 dare suggest something sinister johnson suggesting vaccine passport aimed reopening pubs would force young seek vaccine vaccine experimental offers individual protection getting passing virus,0,1,0,0,1,0,0,0,0,0,0,0
 many people die vaccine stopped norwegian nursing home patients dead receiving first dose pfizer covid vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 un childrens agency unicef doesnt know jun 2021 italy halts astrazeneca vaccine under60s due clots iraq fair game guess,1,0,0,0,0,0,0,0,0,0,0,0
 j0nhyde vaccine cannot legally referred experimental liabilityfree dna altering medical device china russia actual covid vaccines vaccine aint,0,0,1,0,0,0,0,0,0,0,0,0
 three countries europe announced today halting distribution astrazeneca covid vaccine reports deaths following vaccines surfaced coronavirus covid19 covid_19,1,0,0,0,0,0,0,0,0,0,0,0
 neiltstacey margiedg5 katie hopkins love hate posted video saying 1 50 million people get covid 1 2 million get die overall recovery 997 uk want jail speak vaccine control disease,0,0,0,0,1,1,0,0,0,0,0,0
 fyithere plenty people walking around without vaccines sorts contagious diseasesviruses covid different must ask mandatory vaccine card even consideration ones vaccinated feel protects,0,0,0,0,1,1,0,0,0,0,0,0
 vaers 16ypfizer died pulmonary embolism suspected cardiacarrest vaccinedeaths adolescent symptoms cardiac arrest circulatory collapse computerised tomogram thorax abnormal death lung assist device therapy pulmonary embolism,1,0,0,0,0,0,0,0,0,0,0,0
 greatgameindia convulsions receiving covid19 january 14 pfizer covid19 vaccine done mom everyone please pray admitted hospital,1,0,0,0,0,0,0,0,0,0,0,0
 issues fda desperate deny vaccine fda reports facial paralysis 4 volunteers pfizers covid19 vaccine fda denies vaccine cause business line,1,0,0,0,0,0,0,0,0,0,0,0
 garbage vac want use take risk effective varian covid19 19sciencealert astrazeneca covid19 vaccine risk blood clots need know via googlenews,1,1,0,0,0,0,0,0,0,0,0,0
 matthancock uniofoxford astrazeneca mhragovuk going affect people dont want trust vaccine hellbent putting untried untested unproven vaccine people virus killed 377 people last year something wrong,1,0,1,0,0,0,0,0,0,0,0,0
 seen deadliest disease lifetimes consequently vaccine viewed miraculous panacea pfizers stock price virtually unchanged beginning year,0,0,0,1,0,0,0,0,0,0,0,0
 take covid vaccination forced onto force back take covid vaccine stick ass,0,0,0,0,1,0,0,0,0,0,0,0
 im convinced efficacy safety investigational vaccines us_fda currently trialled worldwide moreover fda approval pfizers vaccine comirnaty confirmed doubts,1,1,1,0,0,0,0,0,0,0,0,0
 prueleith spirit fairness equality anyone taking pfizer covid vaccine sadly pass away within 28 days labelled vaccine death pfizer death warning 2 people suffer allergic reaction pfizerbiontech vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 miami doctor husband died mystery blood disorder days getting pfizer covid19 vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 vulnerable covid19 vaccine 2doses protected virus 99 survival rate 000005 risk children 01 risk healthy 65yo insist healthy unvaccinated people face restrictions abhorrent novaxports,0,0,0,0,1,1,0,0,0,0,0,0
 tirus56131185 denvern3 said hes healthy isnt frontline worker hes definitely frontline worker hes always standing front frontline workers advertising vaccine isnt taking hes telling us something vaccine,0,0,0,0,0,0,0,0,0,0,0,1
 clarkemicah bonsai_bill hitchens unable grasp people pro vaccine also legitimate concerns covid specific vaccines allowed discussed,1,0,0,0,0,0,0,0,0,0,0,0
 elaine_hali kamou10 ap march 1st paul greg bob offered take jj vaccine bob gets covid permanently disabled loses job home ends dying homeless street hey got vaccinated,1,0,0,0,0,0,0,0,0,0,0,0
 ani national vaccine covaxin phase 3 trial data peer reviews real time survey cant convince world india get done,0,0,1,0,0,0,0,0,0,0,0,0
 realmarklatham correct vaccine rollout olderat riskhealthcare workers first scale upwards needed damage done covid wont solved vaccine anyone disagrees either dumbstupidwoke,0,1,0,0,0,0,0,0,0,0,0,0
 astrazenecas covid19 shot trials hold suspected reaction via mailonline cant see many people song mind loads older people know aint going flu jab either year loads already started taking zinc,1,0,0,0,0,1,0,0,0,0,0,0
 health canada approves use astrazenecas covid19 vaccine cbc news departments regulators authorized shot use adults 18 older finding shot estimated efficacy rate 62 per cent 62 folks wont get,0,1,0,0,0,0,0,0,0,0,0,0
 marclobliner vaccine considered end pfizer stated may still able get covid,0,1,0,0,0,0,0,0,0,0,0,0
 stayathomeuk chaosgroupuk humble opinion respect dont know making statement vaccine save lives doesnt make true covid vaccine around 5 minutes dont know anything yet nhs boris johnson world governments truth,0,1,1,0,0,0,0,0,0,0,0,0
 halliejackson im simply going trust vaccine comes long trumps office fingerprint administrations fingerprint anywhere modernas rushing emergency approval 46 takes office dont trust,0,0,1,0,0,0,1,0,0,0,0,0
 johncornyn plus covid19 akin common cold around hundreds years scientists trying find vaccine common cold decades without success suspicious could come vaccine covid19 less one year,0,1,0,0,0,0,0,0,0,0,0,0
 vaccine would religion 91st psalm best protection,0,0,0,0,0,0,0,0,0,0,1,0
 im scared johnson johnson vaccine theyve issues products past,0,0,0,1,0,0,0,0,0,0,0,0
 helenahandcart0 jonatho84952843 crescen21993055 isnt anti vaxxer done tons research want take untested unapproved vaccines finish clinical trials 2023 thousands thousands serious side effects,1,0,1,0,0,0,0,0,0,0,0,0
 anyone else noticed sudden spike corona terror reporting media phrases like new dangerous phase vaccine must rushedafrica needs vaccine one must wonder media given media handouts say dictated anc,0,0,1,0,0,0,1,0,0,0,0,0
 cyclowarrior msc1269 mikouseless ianbrown vaccine doesnt give protection,0,1,0,0,0,0,0,0,0,0,0,0
 barbieashdown leslieh707 oh one doesnt expert reading body language know hes covering something depopulation game cv19 vax moderna vax anyone,0,0,0,0,0,0,0,0,1,0,0,0
 see problems staggering number people received covid19 vaccine spike protein also contains reproductive toxicity biodegradation data pfizer show accumulates female ovaries,0,0,0,0,0,0,0,1,0,0,0,0
 viallichelseafc chapito141 garysonfire juliahb1 chelseaskin69 skynews however want ignore fine people cannot vaccine due health religious reasons protected categories force someone illegal would discriminatory deny service,0,0,0,0,0,0,0,0,0,0,1,0
 prof martin gore leading cancer expert died suddenly following routine yellow fever vaccination didnt die previous time knows never tell lose russian roulette learntherisk wakeup vaccinedeath,1,0,0,0,0,0,0,0,0,0,0,0
 rushed side effects complications etc yet cancers diseases etc promising results nothing next 51020 years us experts ok pfizer coronavirus vaccine emergency authorization expected soon via cbs8,1,0,1,0,0,0,0,0,0,0,0,0
 gop secazar im nurse take vaccine covid19 donald trump endorses donthecon donthesuperspreader,0,0,0,0,0,0,1,0,0,0,0,0
 dragonfly_drama jaysims27 vaccines pressuring fda allow emergency authorization orders fda says fighting back issue eao boom trumpwill screaming made vaccines ended covid,0,0,0,0,1,0,1,0,0,0,0,0
 im getting covid jab tomorrow im thinking cancelling like busy bloody week ahead cant afford ill vaccine dont want like hoe bad oxford side effects,1,0,0,0,0,0,0,0,0,0,0,0
 aging_scientist beth_e_k 1 34 autism1 3 allergies1 3 obesethe old people living longer agree n know whythey got 3 vaccineonly 3 except take flu shotsmy childtem age 40 got 20 50,1,0,0,0,0,0,0,0,0,0,0,0
 ant__76 thosejays cp24 taking vaccine rushed market crazy could bad side effects arent known long term testing find themright id rather risk covid non tested vaccine,1,0,1,0,0,0,0,0,0,0,0,0
 tlrd randyrainbow covid vaccine ready googleyoutube planning take thousands traditionally hosted open discussions around vaccine safety tandem facebook twitter discussions 3 already taken place robert f kennedy jr billionaires making,0,0,0,1,0,0,0,0,0,0,0,0
 projectlincoln got one realdonaldtrump getting pfizer created millions vaccines r yet even proven auth fda massive cost taxpayer best program plan well sort really trumpkillsus trumpvirus,0,0,1,0,0,0,0,0,0,0,0,0
 pfizer 12 week dose warning foto supposed volunteer receiving vaccine surely someone giving blood data studies show vaccine protects covid taken 12 weeks apart,1,0,0,0,0,0,0,0,0,0,0,0
 davis_bradley1 andyfurniss and_kell probably original sars vaccine least one covid vaccine based never really worked far ive heard,0,1,0,0,0,0,0,0,0,0,0,0
 mobilepunch wait family vaccine first,0,0,0,0,0,0,0,0,0,0,0,1
 chicagotribune covidoversight fine americans dont want less 10 million vaccines administered us johnson johnson americans arent stupid dont want vaccines effective safe,1,1,0,0,0,0,0,0,0,0,0,0
 oxford vaccine promising crystal clear vaccine provide sterilizing immunity virus challenge gold standard vaccine may provide partial protection collignonpeter erictopol jwgale renuswarup,1,0,0,0,0,0,0,0,0,0,0,0
 jesus keep covid vaccine far away,0,0,0,0,0,0,0,0,0,0,0,1
 federal health officials investigating emerging reports moderna coronavirus vaccine may associated higher risk heart condition called myocarditis younger adults previously believed pandemrix,1,0,0,0,0,0,0,0,0,0,0,0
 kentlivenews lets hope boris johnson isnt one new trainees stick people vaccine good picture use,0,0,0,0,0,0,1,0,0,0,0,0
 jamesrossrjames nah ive gotten 2 flushots times worked got flu said ill trust herd immunity vaccination something tuskegee experiment memory,0,1,0,0,0,1,0,0,0,0,0,0
 pepesgrandma gmanfan45 still concern dr relative said chinese reporters shouldnt near pres vp personally dont like pres vp together concern push take vaccine fall way hell would let inject wanything secretservice protect,0,0,0,0,1,0,0,0,0,0,0,0
 bismillah people need know many getting sick types vaccines used covid19 shots try save financial viability vaccine maker lost bad product part business,1,0,0,0,0,0,0,0,0,0,0,0
 pseudoscientific politicallymotivated article nothing slander wants us die big pharma comes expensive vaccine year get richer even implant us microchip mean time,0,0,0,1,0,0,0,0,1,0,0,0
 alexib20 hepworthclare problem uk paid pfizer vaccine tax protect vulnerable departing vaccine schedule mean vaccine much less effective like pouring money drain,0,1,0,0,0,0,0,0,0,0,0,0
 reported pfizer ceo sold millions shares share price rocketed made personal fortune millions result nothing altruistic pfizer ergo vaccine trusted highly doubtful,0,0,0,1,0,0,0,0,0,0,0,0
 nature_and_race agree parental consent part pediatric medical care im sure get related point meant peoples immune systems mount better responses others everyone vaccinated protected extent,0,1,0,0,0,0,0,0,0,0,0,0
 jnjnews would even address blood clot situation vaccine world know horrific conditions vaccine manufacturing plant going w johnson johnson,1,0,0,0,0,0,0,0,0,0,0,0
 totally uncalled kill many sharks 500000 sharks could killed covid19 vaccine,0,0,0,0,0,0,0,1,0,0,0,0
 polly61e caroleandersen6 nononoeu simondolan dont think deliberate ploy slack lab made stupid mistake dont forget frightened chinese enough compel huge numbers fully tested vaccine russia think youre going round circles,0,0,1,0,0,0,0,0,0,0,0,0
 zoeharcombe informed consent definition permission granted full knowledge possible risks benefits consequences possible experimental novel vaccine still trial phases longterm data riskreward 0 covid risk healthy 40yo,0,0,1,0,0,1,0,0,0,0,0,0
 many shots years military service comply federal government yale holding clinical trials best persuade americans take covid19 vaccines via gatewaypundit,0,0,0,0,0,0,0,0,0,0,0,1
 adarpoonawalla covid19 everything tell fisrt world pharmacitical company like oxford prifzer moderena serium covid19 vaccine claim alrdy rejet say world vaccine effect human body like brain damage happen stopban human trail without us one get vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 wsj concerned trust pfizers covid19vaccine done enough research rt 2 1st pple vaccinated uk pfizer covid19 shot adverse reactions prompting regulator warn history significant allergic reactions,1,0,0,0,0,0,0,0,0,0,0,0
 7 dead 30 people suffered blood clots receiving oxfordastrazeneca vaccine seven died uk medical regulator covid19 vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 covid put risk wait 57 years examination doctors trying save boy told according press reports believe pfizer vaccination boys heart attack closely related,1,0,0,0,0,0,0,0,0,0,0,0
 tl dr pfizer covid vaccine doesnt reduce overall mortality based clinical trial provided data necessary authorize remind trying mandate,0,1,0,0,1,0,0,0,0,0,0,0
 moderna counting profitspeople still wont care convinced vaccine injuries dont exist,0,0,0,1,0,0,0,0,0,0,0,0
 biggest medical scandal history breaking un comes clean admits vaccine death damage coverup,1,0,0,0,0,0,0,0,0,0,0,0
 covishiield proven vaccine moderate efficacy whole efficacy safety data public domain covaxin experimental vaccine efficacy data immunogenicity efficacy safety infrastructure available crucial 2n,0,1,1,0,0,0,0,0,0,0,0,0
 let get straight vaccine passports allow illegal aliens cross border unvaccinated joebiden speakerpelosi u joke like americans rebels,0,0,0,0,1,0,0,0,0,0,0,0
 holbornlolz im thinking may mutated less deadly people dying flu could test got counted covid19 deaths keep mind 20172018 uk saw 50 000 excess flu deaths dodgy vaccine entirely possible,1,0,0,0,0,0,0,0,0,0,0,0
 biontechfailed zika mers cancer 20 years 80 c certified drugsafetyofficerstoo stopped 4 vulnerable elderly cc erictopol jaketapper norway warns fatal side effects covid19 vaccine elderly deaths local,1,0,0,0,0,0,0,0,0,0,0,0
 42believer timothywjohnson friend gave single mmr son immediately displayed symptoms autism afterwards diagnosed soon biggest mistake life used chelation therapy hes totally better chelation removes heavy metals vaccination adds,1,0,0,0,0,0,0,0,0,0,0,0
 fuck made johnson johnson responsible covid vaccine forget baby powders make gave people cancer,0,0,0,1,0,0,0,0,0,0,0,0
 informed consent impossible mysterious ingredient pfizer vaccine vial,0,0,0,0,0,0,0,1,0,0,0,0
 xxjupiterxxa stewonthis1 mean like flu shot never get right need yearly worthless btw anti vaccine anti flu shot opinion covid shot depend years testing first,0,0,1,0,0,0,0,0,0,0,0,0
 redgrift0 wirralcouncil get normal lives apart amount money earned even looked pfizer sued millions people wanting fucking vaccine walking mankind doom,0,0,0,1,0,0,0,0,0,0,0,0
 votevets ok europe already talking requiring vaccination proof us citizens travel cool put fight people rightbut dont expect world care cant travel lol,0,0,0,0,1,0,0,0,0,0,0,0
 kamalaharris tanis42 need ensure adequate antibody testing know doesnt need vaccine ensure individuals right refuse without discrimination mybodymychoice,0,0,0,0,1,1,0,0,0,0,0,0
 greggutfeld human since corona virus hit american shores manifested least 30 different strains thats one ways smartbugs survive theres way know exactly strain vaccine cover nope,0,1,0,0,0,0,0,0,0,0,0,0
 juddpdeere45 presssec realdonaldtrump whitehouse pfizer part operation warp speed rush unsafe vaccines election day bypassing trials safety protocal never happened trump create vaccines anything wthe reason getting vaccines eventually,0,0,1,0,0,0,0,0,0,0,0,0
 astrazeneca exempt coronavirus vaccine liability claims countries article amp reuters really let politicians get vaccinated first rest world wait see side effects 4 years time,1,0,0,1,0,0,0,0,0,0,0,0
 housamjarrar smithbernardin cheezburger13r cbeastwin pfizer gonna make 15 billion covid vax sales idc feeling dont understand ppl like saying im fine right year cancer autoimmune illness possible,1,0,0,1,0,0,0,0,0,0,0,0
 amazon bribing employees tulsa 2 days 8000 get covid vaccine joke viral amazon covid19 covid covidvaccine tulsa oklahoma news cityoftulsagov tulsaworld,0,0,0,0,0,0,0,0,0,0,0,1
 dbongino food thought cdc official number says 026 death rate infected fluzone common flu vaccine says insert 05 die complications flu shot deadly covid19 let sink,1,0,0,0,0,0,0,0,0,0,0,0
 pfizer working government get vaccine fastso minds legitimate reason give stimulus checks next bill game fucked ladies gentlemen the224podcast,0,0,1,0,0,0,0,0,0,0,0,0
 lovenature2021 think mooted bit ruse government encourage people get vaccine,0,0,0,0,1,0,0,0,0,0,0,0
 mirai_aus pfizer studies done interacts vaccines data fertility risk fertility generation told kids never get injection dont know,1,0,1,0,0,0,0,0,0,0,0,0
 patch_molly daddytruth1 joneses72sarah realgammonchops realdenisewelch realdonaldtrump theres never vaccine created coronavirus im expecting one covid 19 either hopefully treatment improvements,0,1,0,0,0,0,0,0,0,0,0,0
 911 planned attack inside job see signaling years prior covid 19 exactly thing plan ridiculous distractions trojan horse meant steal freedom push vaccine consent,0,0,0,0,1,0,0,0,1,0,0,0
 sjjohnson2018 wimbledonwombl2 bsimonward looking ahead vaccinated danger us,1,0,0,0,0,0,0,0,0,0,0,0
 100 percent ignorant hell also tested positive wait 90 days declined time nearly 200 san diego firerescue personnel decline covid19 vaccine,0,0,0,0,0,1,0,0,0,0,0,0
 guardian well going sick covid19 vaccine hey eat created porkunless youre jewish devout,1,0,0,0,0,0,0,0,0,0,0,0
 lmaocommies ladyild id rather die get covid vaccine sure wont 300 400,0,0,0,0,0,0,0,0,0,0,0,1
 tombstone1954 disease specific like polio measles etc works flu corona virus mutate thus vaccine useless also often take years never stop econ look ridiculous people protect unfortunately people die,0,1,0,0,0,0,0,0,0,0,0,0
 yippee serious side effects mean side effects possible side effects 2345 years coronavirus latest news new vaccine serious side effects says biontech founder,1,0,0,0,0,0,0,0,0,0,0,0
 virus 99 natural survival rate isnt going away live vulnerable high risk vaccinated 2doses everything lifted life returns normal vax passports restrictions novaccinepassports,0,0,0,0,1,0,0,0,0,0,0,0
 pfizer wait wait make huge claim like 90 successful follow saying safe ceos scientists families willing get injected thats believe single work say company track record,1,0,0,0,0,0,0,0,0,0,0,0
 86incumbents breitbartnews govrondesantis obviously cant understand dont need vaccine fly lmao,0,0,0,0,0,1,0,0,0,0,0,0
 cenkuygur reyour recent story contaminated water us bases mentioned one reason little investigation donors big companies produce toxins trying protect might thing going vaccine related injuries,1,0,0,1,0,0,0,0,0,0,0,0
 fucking ceo pfizer said mouth havent taken vaccine dont want cut line nigga,0,0,0,1,0,0,0,0,0,0,0,0
 globeandmail covid vaccine deaths injuries reported 6200 100s thousands respectively uk us got thinking jonestown massacre cult members forced drink toxic cool aid vax enthusiasts jostle position,1,0,0,0,0,0,0,0,0,0,0,0
 wsj stay sane vaccine covid19 vaccines cdc side effects 3000 people longer carry normal daily activities vaccinated,1,0,0,0,0,0,0,0,0,0,0,0
 neilclark66 skieurope1 philgreaves01 called vaccine called virus hasnt actually identified isolatedso pray tell jab supposed immunize covid,0,0,1,0,0,0,0,0,0,0,0,0
 sunnydfan4eva johnnyk124 pfizer look sir terrible side effects second vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 cbcnews talk pfizer vaccine may cause infertility,1,0,0,0,0,0,0,0,0,0,0,0
 alexandersmith independent uk health watchdog government oxford university anyone investing vested interest az vaccine vaccines available tiny risks blood clots,1,0,0,0,0,0,0,0,0,0,0,0
 never agree vaccine prepare single mass immunisation day run,0,0,0,0,0,0,0,0,0,0,0,1
 ivysue57 chicot57230736 capt_darling yorkiewr tnewtondunn another thinks people dying covidvaccine funny claims know huge increase covid deaths rollout genetic engineering jab nothing vaccine yet offers proof assertions heres uk medical alliance,1,0,0,0,0,0,0,0,0,0,0,0
 whitehouse recombinant dna wait side effects around wont tuskegee new vaccination type uses spliced dna unknown cons make us go work antipotus,1,0,0,0,0,0,0,1,0,0,0,0
 stevenmcelveen andie0312 abscbnnews seroconversion simply means percentage vaccine recipients produced antibodies certain time period amount 100 seroconversion antibody level 1020 level covid survivor useless chinese vaccines demonstrating,0,1,0,0,0,0,0,0,0,0,0,0
 redcollie1 pfizer using old motto cant beat join gene altering vaccine dont worry beating covid covid excellent selling point dont want one,1,0,0,0,0,0,0,0,0,0,0,0
 davidkurten shaunbaileyuk page 132 doc associated pfizer vaccine definitely worth look age reproduction might cards issue 70s seem wise healthy young people dna messed legal recourse,1,0,0,0,0,0,0,0,0,0,0,0
 open smartnews read healthy boy 13 dies suddenly sleep three days getting second dose pfizer vaccine read web tap,1,0,0,0,0,0,0,0,0,0,0,0
 indonesia gets first batch vaccine chinas sinovac bloomberg hope following indonesia securing sinovac start vaccination without credible efficacy safety data haste makes waste safety paramount,0,1,0,0,0,0,0,0,0,0,0,0
